"Blighter","front",10,10,15,,6,,15,14,,,6,,,,,
"Blighter","back",9,9,15,,5,,15,14,,,6,,,,,
"BRDM-2","front",,,,,4,3,,15,,,8,,,,,1
"BRDM-2","back",,,,,3,3,,15,,,8,,,,,1
"E-100","front",11,,,9,5,4,,20,,,20,,,,,
"E-100","back",10,,,9,4,4,,20,,,20,,,,,
"Fallschirmjager","front",6,,,3,5,3,,18,,,6,,,,,
"Fallschirmjager","back",5,,,3,6,3,,18,,,6,,,,,
"Haunebu III","front",12,9,,,6,4,,,17,,17,,1,,,
"Haunebu III","back",,,,,6,4,,,17,,17,,1,,1,
"Hummel","front",10,,18,,6,,18,14,,,5,,,,,
"Hummel","back",9,,18,,5,,18,14,,,5,,,,,
"Jagdtiger","front",10,,,7,4,4,,18,,,6,,,,,
"Jagdtiger","back",10,,,7,3,4,,18,,,6,,,,,
"Ju-87G Stuka","front",12,,,,5,,,,17,,25,3,,,,
"King Tiger","front",10,,,6,5,,,18,,,6,,,,,
"King Tiger","back",9,,,6,4,,,18,,,6,,,,,
"M109 Paladin","front",11,,20,,7,,20,15,,,5,,,,,
"M109 Paladin","back",10,,20,,6,,20,15,,,5,,,,,
"M113","front",,,,,4,3,,14,,,6,,,1,,
"M113","back",,,,,3,3,,14,,,6,,,1,,
"M60A1","front",10,,,7,5,4,,17,,,6,,,,,
"M60A1","back",9,,,7,4,4,,17,,,6,,,,,
"Megrim","front",10,,,6,4,6,,16,,,6,,,,,
"Megrim","back",9,,,6,3,6,,16,,,6,,,,,
"Ostwind","front",,8,,7,6,,,14,,,5,,,,,
"Ostwind","back",,7,,7,5,,,14,,,5,,,,,
"Pest","front",,,,,4,3,,14,,,6,,,1,,1
"Pest","back",,,,,3,3,,14,,,6,,,1,,1
"Puma","front",9,,,4,4,,,15,,,7,,,,,1
"Puma","back",8,,,4,3,,,15,,,7,,,,,1
"Rancor","front",11,,,8,5,4,,19,,,6,,,,,
"Rancor","back",10,,,8,4,4,,19,,,6,,,,,
"Ravager","front",11,11,,1,7,1,,,,15,3,,1,,,
"Ravager","back",10,10,,1,6,1,,,,15,3,,1,,,
"Scourge","front",10,,,4,5,4,,,16,,18,,,,,1
"Scourge","back",,,,,5,4,,,16,,18,,,,1,
"SdKfz 250","front",8,,,3,4,3,,14,,,6,,,1,,
"SdKfz 250","back",7,,,3,3,3,,14,,,6,,,1,,
"Spetsnaz","front",7,,,3,5,3,,,,13,3,,,,,
"Spetsnaz","back",6,,,3,4,3,,,,13,3,,,,,
"SS-1C Scud-B","front",14,,,,8,,,13,,,4,,,,,
"SS-VT","front",6,,,3,6,3,,,,13,3,,,,,
"SS-VT","back",5,,,3,5,3,,,,13,3,,,,,
"T-64","front",12,,,10,4,5,,20,,,7,,,,,
"T-64","back",11,,,10,3,5,,20,,,7,,,,,
"UH-1 Huey","front",13,,8,,5,4,,,16,,20,,,,,
"UH-1 Huey","back",,,,,5,4,,,16,,20,,,1,1,
"US Rangers","front",6,,,3,5,3,,,,13,4,,,,,
"US Rangers","back",5,,,3,4,3,,,,13,4,,,,,
"Zealots","front",6,,,3,5,,,,,13,3,,,,,
"Zealots","back",5,,,3,4,,,,,13,3,,,,,
"ZSU-23-4 Shilka","front",,9,,7,6,5,,15,,,6,,,,,
"ZSU-23-4 Shilka","back",,8,,7,6,5,,15,,,6,,,,,
